Team,hg_scored,hg_conceded,home_gd,home_points,home_wins,avg_hgs,avg_hgc,avg_hgd,avg_home_points,avg_home_wins,home_matches,seasons,ag_scored,ag_conceded,away_gd,away_points,away_wins,avg_ags,avg_agc,avg_agd,avg_away_points,avg_away_wins,away_matches,total_scored,total_conceded,total_gd,total_points,total_wins,total_matches,total_avg_scored,total_avg_conceded,total_avg_points,total_avg_wins,hfa_goals_scored,hfa_goals_scored_prop,hfa_goals_conceded,hfa_goals_conceded_prop,hfa_wins,hfa_wins_prop
Sheffield United,84,86,-2,104,28,1.0769230769230769,1.1025641025641026,-0.02564102564102564,1.3333333333333333,0.358974358974359,78,4,49,131,-82,53,11,0.6282051282051282,1.6794871794871795,-1.051282051282051,0.6794871794871795,0.14102564102564102,78,133,217,-84,157,39,156,0.8525641025641025,1.391025641025641,1.0064102564102564,0.25,60,0.5490196078431373,-160,0.4449793672627235,11,0.6
Sheffield Weds,200,161,39,204,54,1.45985401459854,1.1751824817518248,0.2846715328467153,1.489051094890511,0.39416058394160586,137,7,154,241,-87,129,32,1.124087591240876,1.7591240875912408,-0.635036496350365,0.9416058394160584,0.2335766423357664,137,354,402,-48,333,86,274,1.291970802919708,1.467153284671533,1.215328467153285,0.31386861313868614,5,0.5454545454545454,-52,0.4460580912863071,92,0.597457627118644
Southampton,607,538,69,628,169,1.4050925925925926,1.2453703703703705,0.1597222222222222,1.4537037037037035,0.3912037037037037,432,23,434,718,-284,400,96,1.0046296296296295,1.662037037037037,-0.6574074074074074,0.925925925925926,0.2222222222222222,432,1041,1256,-215,1028,265,864,1.2048611111111112,1.4537037037037035,1.1898148148148149,0.30671296296296297,18,0.5441176470588235,-46,0.4479638009049774,116,0.5935483870967742
Stoke,248,213,35,297,81,1.305263157894737,1.1210526315789473,0.18421052631578944,1.563157894736842,0.4263157894736842,190,10,150,312,-162,160,35,0.7894736842105263,1.6421052631578947,-0.8526315789473684,0.8421052631578947,0.18421052631578944,190,398,525,-127,457,116,380,1.0473684210526315,1.381578947368421,1.2026315789473685,0.30526315789473685,95,0.5385865150284321,-33,0.44891640866873067,40,0.5934579439252337
Sunderland,336,371,-35,381,98,1.105263157894737,1.2203947368421053,-0.11513157894736842,1.2532894736842106,0.3223684210526316,304,16,276,533,-257,237,55,0.9078947368421052,1.7532894736842106,-0.8453947368421053,0.7796052631578947,0.18092105263157895,304,612,904,-292,618,153,608,1.006578947368421,1.486842105263158,1.0164473684210529,0.25164473684210525,22,0.5366666666666666,-10,0.45,111,0.5923460898502496
Swansea,179,170,9,190,51,1.3458646616541354,1.2781954887218046,0.06766917293233082,1.4285714285714286,0.3834586466165414,133,7,127,213,-86,122,31,0.9548872180451128,1.6015037593984962,-0.6466165413533834,0.9172932330827068,0.23308270676691728,133,306,383,-77,312,82,266,1.150375939849624,1.4398496240601504,1.1729323308270676,0.3082706766917293,22,0.5348101265822784,-64,0.45375722543352603,59,0.5865102639296188
Swindon,25,45,-20,19,4,1.1904761904761905,2.142857142857143,-0.9523809523809524,0.9047619047619048,0.1904761904761905,21,1,22,55,-33,11,1,1.0476190476190477,2.619047619047619,-1.5714285714285714,0.5238095238095238,0.04761904761904761,21,47,100,-53,30,5,42,1.119047619047619,2.380952380952381,0.7142857142857143,0.11904761904761904,3,0.5319148936170213,-46,0.4555984555984556,34,0.5817307692307693
Tottenham,976,608,368,1045,306,1.727433628318584,1.0761061946902657,0.6513274336283186,1.8495575221238936,0.5415929203539823,565,30,749,795,-46,719,191,1.323321554770318,1.4045936395759715,-0.0812720848056537,1.2703180212014131,0.3374558303886926,566,1725,1403,322,1764,497,1131,1.5251989389920424,1.240495137046861,1.559681697612732,0.4394341290893015,44,0.530812324929972,-63,0.4561891515994437,88,0.5718954248366013
Watford,180,236,-56,175,45,1.1842105263157894,1.5526315789473684,-0.3684210526315789,1.1513157894736843,0.29605263157894735,152,8,130,282,-152,110,28,0.8552631578947368,1.855263157894737,-1,0.7236842105263158,0.18421052631578944,152,310,518,-208,285,73,304,1.019736842105263,1.7039473684210529,0.9375,0.2401315789473684,13,0.5286343612334802,-50,0.4676165803108808,99,0.5716353111432706
West Brom,295,361,-66,294,76,1.194331983805668,1.4615384615384617,-0.26720647773279355,1.1902834008097165,0.3076923076923077,247,13,215,411,-196,196,41,0.8704453441295547,1.6639676113360324,-0.7935222672064778,0.7935222672064778,0.1659919028340081,247,510,772,-262,490,117,494,1.0323886639676114,1.562753036437247,0.9919028340080972,0.23684210526315788,44,0.5259433962264151,-15,0.47368421052631576,11,0.5647058823529412
West Ham,741,647,94,785,220,1.4586614173228347,1.2736220472440944,0.18503937007874016,1.545275590551181,0.4330708661417323,508,27,511,807,-296,491,120,1.0059055118110236,1.5885826771653544,-0.5826771653543307,0.966535433070866,0.23622047244094488,508,1252,1454,-202,1276,340,1016,1.2322834645669292,1.4311023622047243,1.2559055118110236,0.3346456692913386,4,0.525,-4,0.47435897435897434,1,0.5555555555555556
Wigan,169,215,-46,189,48,1.111842105263158,1.4144736842105263,-0.3026315789473684,1.243421052631579,0.3157894736842105,152,8,147,267,-120,142,37,0.9671052631578948,1.756578947368421,-0.7894736842105263,0.9342105263157896,0.24342105263157895,152,316,482,-166,331,85,304,1.0394736842105263,1.5855263157894737,1.0888157894736843,0.27960526315789475,6,0.5220588235294118,-24,0.47560975609756095,5,0.543859649122807
Wimbledon,186,175,11,201,53,1.3576642335766422,1.2773722627737227,0.08029197080291971,1.467153284671533,0.3868613138686132,137,7,142,242,-100,136,32,1.0364963503649636,1.7664233576642336,-0.7299270072992701,0.9927007299270072,0.2335766423357664,137,328,417,-89,337,85,274,1.197080291970803,1.5218978102189782,1.22992700729927,0.3102189781021898,2,0.52,-2,0.4852941176470588,10,0.5357142857142857
Wolves,187,234,-47,212,58,1.154320987654321,1.4444444444444444,-0.29012345679012347,1.308641975308642,0.35802469135802467,162,9,153,258,-105,153,36,0.9444444444444444,1.5925925925925926,-0.6481481481481481,0.9444444444444444,0.2222222222222222,162,340,492,-152,365,94,324,1.0493827160493827,1.5185185185185186,1.126543209876543,0.29012345679012347,-7,0.4932301740812379,3,0.5104895104895105,0,0.5
